"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity"
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"In The Air Tonight - 2015 Remastered","6MjfEIHOMW6MaDO3LpFcmW",0.452,0.238,"C",-14.175,"major",0.0316,0.503,6.06e-06,0.0745,0.336,189.999,335973,4,"C major",43
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"This Must Be Love - 2015 Remastered","2pkMt1GnVAbPaqGjV0FCQb",0.793,0.198,"D",-14.434,"minor",0.0398,0.586,0,0.0734,0.603,138.153,236333,3,"D minor",33
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"Behind The Lines - 2015 Remastered","6JuDbmh0mxmC7EGCFtX2cD",0.619,0.714,"F",-8.986,"minor",0.0378,0.0227,0.000876,0.0822,0.889,103.646,235787,4,"F minor",27
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"The Roof Is Leaking - 2015 Remastered","5zE9OJvFz9VYJJoz8MQkoG",0.322,0.0738,"D#",-14.647,"minor",0.0548,0.855,0.000142,0.0779,0.22,182.845,196587,3,"D# minor",27
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"Droned - 2015 Remastered","53q1lHmow7FkKkVgdxwPUh",0.294,0.475,"A#",-12.537,"minor",0.0328,0.751,0.922,0.118,0.336,133.259,169627,5,"A# minor",25
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"Hand In Hand - 2015 Remastered","1HzGhSRMp3t08lOixk2GNF",0.55,0.899,"F#",-9.725,"major",0.0481,0.0347,0.875,0.0827,0.734,96.776,322600,4,"F# major",25
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"I Missed Again - 2015 Remastered","5GgdUHZtIg0aP5Kt07n14J",0.779,0.753,"A",-8.319,"minor",0.0307,0.027,6.91e-05,0.0665,0.751,106.233,224120,4,"A minor",30
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"You Know What I Mean - 2015 Remastered","48Qk93v6PT33E9g6dWxcN7",0.357,0.208,"D#",-12.008,"major",0.0363,0.914,0,0.278,0.312,98.253,153107,4,"D# major",26
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"Thunder And Lightning - 2015 Remastered","19vlM2BQZzYz0WynHXBItt",0.604,0.601,"D#",-8.602,"major",0.0373,0.012,0.00196,0.0867,0.758,170.537,253840,4,"D# major",24
"7gUgpwRHL95RLPi2WmqxgU","Face Value (Remastered)","https://i.scdn.co/image/a25e06825063bbef6fc4ab20476b35ab338da1bf","1981-01-01",1981-01-01,44,"I'm Not Moving - 2015 Remastered","0muKe5uk0XYXJDInP7A4Ht",0.807,0.558,"F",-10.557,"minor",0.0348,0.155,6.56e-05,0.108,0.776,100.069,155373,4,"F minor",24
